location,value
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11196.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11232.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11268.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11304.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11340.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11376.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11412.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11448.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11484.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1152.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11520.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11556.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11592.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11628.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11664.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11700.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11736.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11772.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11808.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11844.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1188.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11880.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11916.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11952.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11988.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12024.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12060.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12096.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12132.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12168.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12204.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1224.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12240.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12276.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12312.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12348.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12384.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12420.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12456.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12492.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12528.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12564.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1260.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12600.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12636.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12672.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12708.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12744.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12780.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12816.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12852.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12888.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12924.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1296.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12960.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\12996.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13032.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13068.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13104.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13140.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13176.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13212.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13248.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13284.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1332.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13320.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13356.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13392.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13428.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13464.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13500.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13536.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13572.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13608.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13644.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1368.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13680.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13716.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13752.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13788.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13824.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13860.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13896.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13932.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\13968.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14004.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1404.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14040.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14076.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14112.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14148.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14184.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14220.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14256.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14292.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14328.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14364.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\144.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1440.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14400.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14436.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14472.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14508.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14544.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14580.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14616.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14652.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14688.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14724.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1476.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14760.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14796.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14832.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14868.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14904.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14940.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\14976.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15012.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15048.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15084.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1512.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15120.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15156.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15192.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15228.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15264.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15300.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15336.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15372.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15408.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15444.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1548.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15480.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15516.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15552.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15588.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15624.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15660.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15696.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15732.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15768.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15804.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1584.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15840.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15876.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15912.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15948.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\15984.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16020.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16056.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16092.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16128.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16164.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1620.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16200.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16236.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16272.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16308.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16344.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16380.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16416.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16452.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16488.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16524.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1656.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16560.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16596.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16632.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16668.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16704.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16740.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16776.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16812.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16848.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16884.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1692.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16920.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16956.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\16992.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17028.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17064.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17100.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17136.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17172.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17208.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17244.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1728.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17280.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17316.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17352.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17388.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17424.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17460.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17496.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17532.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17568.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17604.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1764.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17640.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17676.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17712.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17748.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17784.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17820.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17856.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17892.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17928.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\17964.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\180.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1800.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18000.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18036.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18072.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18108.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18144.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18180.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18216.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18252.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18288.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18324.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1836.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18360.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18396.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18432.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18468.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18504.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18540.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18576.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18612.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18648.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18684.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1872.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18720.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18756.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18792.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18828.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18864.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18900.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18936.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\18972.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19008.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19044.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1908.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19080.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19116.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19152.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19188.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19224.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19260.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19296.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19332.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19368.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19404.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1944.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19440.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19476.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19512.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19548.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19584.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19620.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19656.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19692.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19728.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19764.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1980.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19800.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19836.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19872.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19908.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19944.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\19980.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20016.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20052.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20088.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20124.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2016.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20160.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20196.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20232.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20268.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20304.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20340.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20376.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20412.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20448.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20484.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2052.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20520.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20556.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\20592.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2088.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2124.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\216.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2160.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2196.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2232.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2268.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2304.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2340.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2376.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2412.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2448.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2484.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\252.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2520.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2556.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2592.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2628.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2664.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2700.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2736.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2772.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2808.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2844.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\288.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2880.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2916.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2952.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\2988.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3024.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3060.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3096.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3132.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3168.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3204.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\324.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3240.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3276.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3312.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3348.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3384.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3420.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3456.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3492.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3528.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3564.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\36.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\360.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\3600.png,0
